Date,Open,High,Low,Close,Adj Close
2022-08-01,8690.26,8761.38,8658.18,8705.87,8705.87
2022-07-29,8639.46,8751.16,8623.8,8730.46,8730.46
2022-07-28,8510.34,8620.96,8439.85,8607.24,8607.24
2022-07-27,8348.86,8536.72,8348.86,8503.02,8503.02
2022-07-26,8354.79,8354.79,8264.48,8286.19,8286.19
2022-07-25,8380.17,8400.62,8333.77,8382.88,8382.88
2022-07-22,8450.09,8478.92,8323.81,8371.87,8371.87
2022-07-21,8356.48,8451.12,8300.08,8450.64,8450.64
2022-07-20,8316.21,8397.34,8288.03,8367.37,8367.37
2022-07-19,8158.4,8323.77,8157.71,8318.2,8318.2
2022-07-18,8206.59,8244.61,8068.41,8094.23,8094.23
2022-07-15,8072.11,8163.46,8065.67,8162.5,8162.5
2022-07-14,7954.81,8021.34,7863.55,8008.71,8008.71
2022-07-13,7985.56,8089.16,7941.93,8031.76,8031.76
2022-07-12,8137.08,8181.61,8032.85,8067.56,8067.56
2022-07-11,8198.17,8198.68,8127.63,8142.68,8142.68
2022-07-08,8213.73,8277.83,8174.25,8237.5,8237.5
2022-07-07,8150.83,8260.61,8150.83,8243.69,8243.69
2022-07-06,8093.21,8175.74,8046.42,8121.21,8121.21
2022-07-05,8010.18,8093.18,7903.52,8092.15,8092.15
2022-07-01,7984.46,8087.38,7924.11,8077.89,8077.89
2022-06-30,7995.38,8064.35,7895.39,7993.43,7993.43
2022-06-29,8075.05,8100.02,8021.24,8062.72,8062.72
2022-06-28,8261.4,8329.41,8064.66,8067.56,8067.56
2022-06-27,8276.66,8290.48,8211.67,8233.42,8233.42
2022-06-24,8067.68,8260.71,8067.68,8257.72,8257.72
2022-06-23,7968.95,8026.83,7902.82,8012.68,8012.68
2022-06-22,7882.8,8024.98,7847.9,7936.67,7936.67
2022-06-21,7843.33,7978.16,7842.46,7946.89,7946.89
2022-06-17,7736.74,7824.85,7676.8,7756.59,7756.59
2022-06-16,7869.27,7869.27,7682.41,7739.39,7739.39
2022-06-15,7943.83,8099.01,7855.77,7998.62,7998.62
2022-06-14,7941.61,7972.48,7820.58,7883.34,7883.34
2022-06-13,8097.98,8097.98,7878.09,7910.43,7910.43
2022-06-10,8385.94,8385.94,8228.69,8229.43,8229.43
2022-06-09,8654.09,8689.51,8474.79,8475.91,8475.91
2022-06-08,8746.24,8775.06,8663.83,8681.68,8681.68
2022-06-07,8641.58,8784.89,8606.45,8776.09,8776.09
2022-06-06,8721.84,8792.72,8667.34,8693.06,8693.06
2022-06-03,8724.76,8737.79,8645.1,8665.8,8665.8
2022-06-02,8637.31,8810.5,8593.14,8809.18,8809.18
2022-06-01,8749.5,8785.3,8590.64,8648.28,8648.28
2022-05-31,8750.82,8788.86,8655.52,8712.6,8712.6
2022-05-27,8596.12,8766.92,8596.12,8766.83,8766.83
2022-05-26,8400.77,8589.42,8399.31,8553.68,8553.68
2022-05-25,8281.32,8429.87,8274.27,8386.62,8386.62
2022-05-24,8311.49,8337.65,8168.57,8307.97,8307.97
2022-05-23,8262.2,8392.95,8239.78,8375.87,8375.87
2022-05-20,8277.96,8310.95,8030.44,8222.31,8222.31
2022-05-19,8217.2,8316.17,8170.67,8220.97,8220.97
2022-05-18,8538.63,8538.63,8245.95,8268.32,8268.32
2022-05-17,8536.69,8618.25,8498.78,8614.31,8614.31
